sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0162,sample,Anthranalate,met,136.04,749,8902,729.84,735.33
MLMET0164,sample,Anthranalate,met,136.04,749,7431,730.29,735.79
MLMET0180,sample,Anthranalate,met,136.04,749,9731,730.05,735.54
MLMET0135,filter,Anthranalate,met,136.04,749,8461,727.8,733.29
MLMET0144,filter,Anthranalate,met,136.04,749,7814,727.6,733.09
MLMET0095,sample,Anthranalate,met,136.04,749,23044,728.17,733.66
MLMET0125,filter,Anthranalate,met,136.04,749,10571,727.87,733.36
MLMET0123,sample,Anthranalate,met,136.04,749,12607,730.5,735.99
MLMET0069,sample,Anthranalate,met,136.04,749,40850,730.74,736.23
MLMET0143,sample,Anthranalate,met,136.04,749,8517,728.13,733.62
MLMET0186,sample,Anthranalate,met,136.04,749,9266,727.95,733.44
MLMET0070,sample,Anthranalate,met,136.04,749,89214,731.09,736.58
MLMET0137,sample,Anthranalate,met,136.04,749,12918,730.91,736.4
MLMET0163,sample,Anthranalate,met,136.04,749,9950,729.03,734.52
all_ss-r002,stds,Anthranalate,met,136.04,749,5058,729.24,734.73
MLMET0068,sample,Anthranalate,met,136.04,749,49663,731.41,736.9
MLMET0183,sample,Anthranalate,met,136.04,749,26427,731.67,737.17
MLMET0092,sample,Anthranalate,met,136.04,749,24146,729.55,735.04
MLMET0187,sample,Anthranalate,met,136.04,749,7743,729.69,735.19
MLMET0179,filter,Anthranalate,met,136.04,749,7725,731.12,736.61
MLMET0089,filter,Anthranalate,met,136.04,749,20090,731.34,736.83
MLMET0142,sample,Anthranalate,met,136.04,749,8331,728.43,733.92
MLMET0182,sample,Anthranalate,met,136.04,749,8433,728.65,734.14
MLMET0096,sample,Anthranalate,met,136.04,749,26726,731.13,736.62
MLMET0122,sample,Anthranalate,met,136.04,749,18910,731,736.49
MLMET0138,sample,Anthranalate,met,136.04,749,8563,729.32,734.82
MLMET0098,sample,Anthranalate,met,136.04,749,22724,728.99,734.48
all_ss-r001,stds,Anthranalate,met,136.04,749,6674,730.14,735.63
MLMET0071,sample,Anthranalate,met,136.04,749,37391,729.97,735.46
Blank-r001,blank,Anthranalate,met,136.04,749,5483,728.35,733.84
MLMET0120,sample,Anthranalate,met,136.04,749,21737,727.96,733.45
MLMET0181,sample,Anthranalate,met,136.04,749,9142,730.04,735.54
MLMET0159,filter,Anthranalate,met,136.04,749,7612,730.3,735.79
MLMET0097,sample,Anthranalate,met,136.04,749,23914,728.78,734.27
MLMET0075,sample,Anthranalate,met,136.04,749,22960,728.46,733.95
MLMET0072,sample,Anthranalate,met,136.04,749,61954,730.78,736.28
MLMET0094,sample,Anthranalate,met,136.04,749,24504,730.74,736.23
MLMET0090,filter,Anthranalate,met,136.04,749,21983,728.36,733.85
RCY308_control-r001,control,Anthranalate,met,136.04,749,6773,728.64,734.13
MLMET0124,sample,Anthranalate,met,136.04,749,12452,730.89,736.38
Blank-r002,blank,Anthranalate,met,136.04,749,4492,731.06,736.55
MLMET0067,filter,Anthranalate,met,136.04,749,24975,728.74,734.24
MLMET0091,sample,Anthranalate,met,136.04,749,23711,728.41,733.9
MLMET0119,sample,Anthranalate,met,136.04,749,23488,731.84,737.33
RCY308_control-r002,control,Anthranalate,met,136.04,749,5588,731.65,737.15
